Question,Answer,Sources
What are the symptoms of allergic rhinitis?,"The context states that a patient presented with a complaint of allergies (Sample Name: Allergic Rhinitis, Specialty: Allergy / Immunology). The provided medical records do not explicitly list other specific symptoms of allergic rhinitis."," Allergic Rhinitis ,  Gen Med Consult - 22 "
Describe the procedure for laparoscopic gastric bypass.,"The laparoscopic gastric bypass procedure involves a laparoscopic Roux-en-Y gastric bypass, which is antecolic and antegastric with a 25-mm EEA anastomosis, and an esophagogastroduodenoscopy (Laparoscopic Gastric Bypass - 1, Surgery)."," Gastric Bypass Discussion - 2 ,  Laparoscopic Gastric Bypass - 1 "
What findings were noted in the 2-D Echocardiogram?,"The 2-D Echocardiogram (Radiology, Echocardiogram - 1) noted the following findings from the echocardiographic examination (Radiology, Echocardiography):

*   Borderline left ventricular hypertrophy with normal ejection fraction at 60% (Radiology, Echocardiography).
*   Mitral annular calcification with structurally normal mitral valve (Radiology, Echocardiography).
*   No intracavitary thrombi (Radiology, Echocardiography).
*   Interatrial septum appeared to be intact on the views obtained (Radiology, Echocardiography).
*   Normal LV size (Radiology, Echocardiography).
*   Severe concentric LV hypertrophy (Radiology, Echocardiography).
*   Global hypokinesis (Radiology, Echocardiography).
*   Severely depressed LV function with an estimated EF of 20-24% (Radiology, Echocardiography).
*   RV hypertrophy (Radiology, Echocardiography).
*   Mildly enlarged RV size (Radiology, Echocardiography).
*   Severely depressed RV function with severely hypokinetic RV wall motion (Radiology, Echocardiography).
*   Moderately enlarged LA size (Radiology, Echocardiography).
*   Mildly enlarged RA size (Radiology, Echocardiography).
*   Trace aortic regurgitation (Radiology, Echocardiography).
*   Moderate tricuspid regurgitation (Radiology, Echocardiography).
*   Estimated PA systolic pressure of 46-51 mmHg, assuming a mean RAP of 15-20mmHg (Radiology, Echocardiography).
*   Small anterior and posterior pericardial effusion (Radiology, Echocardiography)."," Echocardiogram - 1 ,  Gen Med Consult - 25 ,  Echocardiography "
What is the treatment for chronic sinusitis?,"I cannot find the answer in the provided medical records. The records mention that the patient ""has not had much improvement with antibiotics"" (Consult - History and Phy., Chronic Sinusitis) and ""currently is not taking any medication for her sinuses"" (Consult - History and Phy., Chronic Sinusitis), but they do not specify a recommended treatment for chronic sinusitis.", Chronic Sinusitis 
How is a lumbar puncture performed?,"I cannot find the answer in the provided medical records. The records state that a lumbar puncture is performed with moderate sedation, according to Neurology, Neurosurgery, and Surgery, but do not describe the steps of the procedure itself.", Lumbar Puncture - 1 
What are the indications for a total hip replacement?,"The indications for a total hip replacement include:

*   Right hip osteoarthritis (Total Hip Replacement, Orthopedic; Total Hip Replacement, Surgery)
*   Left hip degenerative arthritis (Total Hip Arthroplasty, Surgery)
*   Severe degenerative changes within the femoral head and acetabulum, including anterior and posterior osteophytes (Total Hip Arthroplasty, Surgery)"," Total Hip Replacement  ,  Total Hip Arthroplasty "
Describe the post-operative care for a cataract surgery.,"After cataract surgery, the patient is cleaned free of Betadine (Sample Name 1, Sample Name 2, Sample Name 3). Eye drops are applied, which may include Vigamox and Econopred (Sample Name 1, Sample Name 2) or Zymar and Pred Forte (Sample Name 3). A soft eye patch followed by a firm eye shield (Sample Name 1, Sample Name 2) or a firm eye shield (Sample Name 3) is taped over the operative eye. The patient is then taken to the Postanesthesia Recovery Unit in good condition (Sample Name 1, Sample Name 2, Sample Name 3).

Discharge instructions are discussed, covering activity restrictions, eye drop use, eye shield/patch wearing, and driving restrictions (Sample Name 1, Sample Name 2, Sample Name 3). These instructions are also reviewed with the patient by the discharging nurse (Sample Name 1, Sample Name 2, Sample Name 3). The patient is discharged with a follow-up scheduled in 24 hours (Sample Name 1, Sample Name 2, Sample Name 3)."," Phacoemulsification & Lens Implantation - 1 ,  Phacoemulsification & Lens Implantation "
What are the common side effects of chemotherapy?,I cannot find the answer in the provided medical records.," Non-Small Cell Lung Cancer - Consult ,  MRI of Lung - Adenocarcinoma "
What symptoms indicate a possible hernia?,I cannot find the answer in the provided medical records.," Gen Med Consult - 26 ,  Gen Med Consult - 34 "
Explain the diagnosis of carpal tunnel syndrome.,"Carpal tunnel syndrome is suspected when a patient experiences numbness and tingling in an upper extremity, which can be intermittent and related to the positioning of the wrist (SOAP - Numbness & Tingling, Neurology). These symptoms may occur periodically over several weeks (SOAP - Numbness & Tingling, Neurology). It can be worse at night, with tingling upon waking if sleeping in a certain way, which can often be shaken out (SOAP - Numbness & Tingling, Neurology). The tingling and numbness typically involve the middle finger, and sometimes the first and second digits (SOAP - Numbness & Tingling, Neurology). Repetitive activities may contribute to the condition (SOAP - Numbness & Tingling, Neurology). Carpal tunnel can involve sensory changes in the wrist, but may show no evidence of motor change (Hand Discomfort - Followup, Rheumatology)."," SOAP - Numbness & Tingling ,  Hand Discomfort - Followup "
